track,id,artist,album_name,album_id,album_art
Lean On (with Emiway Bantai),61eDLrQvquaTtZRnGFz9Kh,Celina Sharma | 42daDEQTdYaqtHG5sH5HMD; Emiway Bantai | 008PpLcKUtVXle6JSwkq3I; ,Lean On (with Emiway Bantai),6h53Qu0rJsJuOrVnEXpxW7,https://i.scdn.co/image/ab67616d0000b273754a7b0af59c3a88c9d5173e
ROXANNE,696DnlkuDOXcMAnKlTgXXK,Arizona Zervas | 0vRvGUQVUjytro0xpb26bs; ,ROXANNE,6HJDrXs0hpebaRFKA1sF90,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea
"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq,Céline Dion | 4S9EykWXhStSc15wEx8QFK; ,Let's Talk About Love,1tfS7Fo1UtAxQSf256fnYs,https://i.scdn.co/image/ab67616d0000b273745adc3f697ea1ec79d66901
It's Wednesday,7oJzahtQz2RfGnheA1HgOy,Spotify | 5UUG83KSlqPhrBssrducWV; ,Daily Sports,6IkndfRrafR77MUJKHgIri,https://i.scdn.co/image/ab67616d0000b27392a7f50c9e301b11a2556719
